Line-ID,Population,Accession-ID,Species,Race,Latitude,Longitude,Altitude
CIM10003,J2Teo,CIM10003,Zea diploperennis,diploperennis,19.533,-104.217,2250
CIM11362,J2Teo,CIM11362,Zea mays ssp. mexicana,Chalco,19.275,-99.100,2200
CIM11365,J2Teo,CIM11365,Zea mays ssp. mexicana,Mesa_Central,20.727,-101.949,1710
CIM11400,J2Teo,CIM11400,Zea mays ssp. mexicana,Chalco,19.350,-98.980,2200
CIM13451,J2Teo,CIM13451,Zea nicaraguensis,nicaraguensis,12.874,-86.914,15
CIM27215,J2Teo,CIM27215,Zea mays ssp. mexicana,Chalco,19.530,-98.843,2280
CIM29379,J2Teo,CIM29379,Zea perennis,perennis,19.418,-101.911,1380
CIM9479,J2Teo,CIM9479,Zea mays ssp. huehuetenangensis,huehuetenango,15.667,-91.750,1300
DMA_2008_1,J2Teo,DMA_2008_1,Zea mays ssp. parviglumis,Balsas,18.672,-98.831,1400
FAC_P_87,J2Teo,FAC_P_87,Zea luxurians,luxurians,17.935,-96.468,80
G1,J2Teo,G1,Zea luxurians,Guatemala,14.247,-89.875,878
G3,J2Teo,G3,Zea luxurians,Guatemala,14.526,-89.662,895
G6,J2Teo,G6,Zea luxurians,Guatemala,14.538,-89.890,982
G7,J2Teo,G7,Zea luxurians,Guatemala,14.530,-89.825,1037
H1,J2Teo,H1,Zea mays ssp. huehuetenangensis,huehuetenango,15.673,-91.792,1225
H2,J2Teo,H2,Zea mays ssp. huehuetenangensis,huehuetenango,15.692,-91.818,1025
JACV_T_018,J2Teo,JACV_T_018,Zea mays ssp. mexicana,Mesa_Central,19.927,-101.717,2012
JACV_T_049,J2Teo,JACV_T_049,Zea mays ssp. parviglumis,Balsas,19.443,-100.902,684
JACV_T_082,J2Teo,JACV_T_082,Zea mays ssp. parviglumis,Balsas,19.146,-101.430,1219
JLHNM_661,J2Teo,JLHNM_661,Zea mays ssp. parviglumis,Balsas,18.417,-99.968,1746
JLHNM_664,J2Teo,JLHNM_664,Zea mays ssp. parviglumis,Balsas,18.500,-99.909,1524
JLNCM_643,J2Teo,JLNCM_643,Zea mays ssp. parviglumis,Balsas,18.253,-99.234,1183
JLNCM_646,J2Teo,JLNCM_646,Zea mays ssp. parviglumis,Balsas,17.760,-98.774,1580
JLNCM_649,J2Teo,JLNCM_649,Zea mays ssp. parviglumis,Balsas,17.454,-99.210,1020
JLNCM_654,J2Teo,JLNCM_654,Zea mays ssp. parviglumis,Balsas,17.287,-99.483,740
JLNCM_657,J2Teo,JLNCM_657,Zea mays ssp. parviglumis,Balsas,17.397,-99.437,1150
JLVTKV_717,J2Teo,JLVTKV_717,Zea diploperennis,diploperennis,22.851,-105.122,1410
JLVTKV_719,J2Teo,JLVTKV_719,Zea diploperennis,diploperennis,22.857,-105.107,1392
JLVTKV_720,J2Teo,JLVTKV_720,Zea diploperennis,diploperennis,22.870,-105.105,1393
JSG_426,J2Teo,JSG_426,Zea mays ssp. mexicana,Mesa_Central,20.157,-102.060,1940
JSG_427,J2Teo,JSG_427,Zea mays ssp. parviglumis,Mesa_Central,20.153,-102.364,1574
JSG_437,J2Teo,JSG_437,Zea mays ssp. mexicana,Chalco,19.086,-98.489,2475
JSG_465,J2Teo,JSG_465,Zea mays ssp. mexicana,Mesa_Central,20.421,-102.347,1597
JSG_467,J2Teo,JSG_467,Zea mays ssp. parviglumis,Balsas,20.611,-104.226,1139
JSG_593,J2Teo,JSG_593,Zea luxurians,luxurians,17.944,-96.462,83
JSG_JMHC_614,J2Teo,JSG_JMHC_614,Zea mays ssp. mexicana,Chalco,19.258,-99.467,2592
JSG_JMHC_626,J2Teo,JSG_JMHC_626,Zea mays ssp. mexicana,Chalco,19.171,-97.557,2388
JSG_JMHC_629,J2Teo,JSG_JMHC_629,Zea mays ssp. mexicana,Chalco,19.074,-97.431,2670
JSG_JMHC_631,J2Teo,JSG_JMHC_631,Zea mays ssp. mexicana,Chalco,19.160,-98.186,2311
JSG_JMHC_634,J2Teo,JSG_JMHC_634,Zea mays ssp. mexicana,Chalco,19.079,-98.845,2485
JSG_JMHC_637,J2Teo,JSG_JMHC_637,Zea mays ssp. mexicana,Chalco,19.155,-98.775,2470
JSG_JMHC_639,J2Teo,JSG_JMHC_639,Zea mays ssp. mexicana,Chalco,19.495,-98.921,2254
JSG_LCL_554,J2Teo,JSG_LCL_554,Zea mays ssp. mexicana,Balsas,19.441,-103.984,1103
JSG_LCL_559,J2Teo,JSG_LCL_559,Zea mays ssp. mexicana,Chalco,19.681,-101.736,2410
JSG_LCL_565,J2Teo,JSG_LCL_565,Zea mays ssp. mexicana,Mesa_Central,19.956,-101.317,1848
JSG_LCL_566,J2Teo,JSG_LCL_566,Zea mays ssp. mexicana,Mesa_Central,20.077,-101.976,2055
JSG_LCL_672,J2Teo,JSG_LCL_672,Zea mays ssp. parviglumis,Balsas,18.610,-100.272,834
JSG_LCL_674,J2Teo,JSG_LCL_674,Zea mays ssp. parviglumis,Balsas,18.641,-100.357,1008
JSG_LCL_676,J2Teo,JSG_LCL_676,Zea mays ssp. parviglumis,Balsas,19.179,-100.255,1345
